placeName,year,population,count2011,growth
Aberdeen City,2011,1328965,1328965,1.0
Aberdeen City,2012,1343896,1328965,1.01123505886159530160689
Aberdeen City,2013,1356855,1328965,1.020986256221947154364487
Aberdeen City,2014,1366848,1328965,1.028505641608319255962347
Aberdeen City,2015,1376124,1328965,1.03548550940017231454553
City of Edinburgh,2011,2698224,2698224,1.0
City of Edinburgh,2012,2724806,2698224,1.009851665391753983360907
City of Edinburgh,2013,2750455,2698224,1.019357547779576491796085
City of Edinburgh,2014,2781168,2698224,1.030740220233753758027503
City of Edinburgh,2015,2814936,2698224,1.043255118922669133474463
Dundee City,2011,929296,929296,1.0
Dundee City,2012,932711,929296,1.003674824813622354987001
Dundee City,2013,934564,929296,1.005668807355245260928703
Dundee City,2014,935034,929296,1.006174566553606170692653
Dundee City,2015,935606,929296,1.006790086258845405554312
Glasgow City,2011,3445072,3445072,1.0
Glasgow City,2012,3459073,3445072,1.004064066005006571705903
Glasgow City,2013,3470039,3445072,1.00724716348453675278775
Glasgow City,2014,3489640,3445072,1.012936739783667801427662
Glasgow City,2015,3530734,3445072,1.024865082645587668414477
Stirling,2011,484990,484990,1.0
Stirling,2012,488629,484990,1.007503247489638961628075
Stirling,2013,489852,484990,1.010024948968019959174416
Stirling,2014,491066,484990,1.012528093362749747417473
Stirling,2015,498180,484990,1.027196437039938967813769
